id,booking_id,amount_inr,payment_method,payment_type,status_id,transaction_id,razorpay_order_id,razorpay_payment_id,razorpay_signature,remarks,created_at
21,13,9060,CARD,PAYMENT,7,TXN_000000000030,ORDER_000000000030,PAYMENT_000000000030,SIGNATURE_000000000030,Payment for freeze booking,2025-12-07 02:00:00+05:30
22,14,9400,CARD,PAYMENT,7,TXN_000000000031,ORDER_000000000031,PAYMENT_000000000031,SIGNATURE_000000000031,Payment for freeze booking,2025-12-10 02:00:00+05:30
23,15,10760,CARD,PAYMENT,7,TXN_000000000032,ORDER_000000000032,PAYMENT_000000000032,SIGNATURE_000000000032,Payment for freeze booking,2025-12-13 02:00:00+05:30
24,11,2500,UPI,ADD_PAYMENT,14,TXN_000000000033,ORDER_000000000033,PAYMENT_000000000033,SIGNATURE_000000000033,Settlement Payment,2025-12-02 10:32:00+05:30
25,14,2000,UPI,REJECTION_REFUND,13,TXN_000000000034,ORDER_000000000034,PAYMENT_000000000034,SIGNATURE_000000000034,Admin confirmed refund manually,2025-12-11 12:00:00+05:30
26,13,1400,UPI,REFUND,13,TXN_000000000035,ORDER_000000000035,PAYMENT_000000000035,SIGNATURE_000000000035,Admin confirmed refund manually,2025-12-08 12:00:00+05:30
27,15,5280,UPI,CANCELLATION_REFUND,13,TXN_000000000036,ORDER_000000000036,PAYMENT_000000000036,SIGNATURE_000000000036,Admin confirmed refund manually,2025-12-14 12:00:00+05:30
28,16,5700,CARD,PAYMENT,7,TXN_000000000037,ORDER_000000000037,PAYMENT_000000000037,SIGNATURE_000000000037,Payment for freeze booking,2025-12-16 02:00:00+05:30
29,17,11950,CARD,PAYMENT,7,TXN_000000000038,ORDER_000000000038,PAYMENT_000000000038,SIGNATURE_000000000038,Payment for freeze booking,2025-12-19 02:00:00+05:30
30,18,9060,CARD,PAYMENT,7,TXN_000000000039,ORDER_000000000039,PAYMENT_000000000039,SIGNATURE_000000000039,Payment for freeze booking,2025-12-22 02:00:00+05:30
31,19,9400,CARD,PAYMENT,7,TXN_000000000040,ORDER_000000000040,PAYMENT_000000000040,SIGNATURE_000000000040,Payment for freeze booking,2025-12-25 02:00:00+05:30
32,20,10760,CARD,PAYMENT,7,TXN_000000000041,ORDER_000000000041,PAYMENT_000000000041,SIGNATURE_000000000041,Payment for freeze booking,2025-12-28 02:00:00+05:30
33,16,2500,UPI,ADD_PAYMENT,14,TXN_000000000042,ORDER_000000000042,PAYMENT_000000000042,SIGNATURE_000000000042,Settlement Payment,2025-12-17 10:32:00+05:30
34,19,2000,UPI,REJECTION_REFUND,13,TXN_000000000043,ORDER_000000000043,PAYMENT_000000000043,SIGNATURE_000000000043,Admin confirmed refund manually,2025-12-26 12:00:00+05:30
35,18,1400,UPI,REFUND,13,TXN_000000000044,ORDER_000000000044,PAYMENT_000000000044,SIGNATURE_000000000044,Admin confirmed refund manually,2025-12-23 12:00:00+05:30
36,20,5280,UPI,CANCELLATION_REFUND,13,TXN_000000000045,ORDER_000000000045,PAYMENT_000000000045,SIGNATURE_000000000045,Admin confirmed refund manually,2025-12-29 12:00:00+05:30
37,21,5700,CARD,PAYMENT,7,TXN_000000000001,ORDER_000000000001,PAYMENT_000000000001,SIGNATURE_000000000001,Payment for freeze booking,2026-01-01 02:00:00+05:30
38,22,6380,CARD,PAYMENT,7,TXN_000000000002,ORDER_000000000002,PAYMENT_000000000002,SIGNATURE_000000000002,Payment for freeze booking,2026-01-04 02:00:00+05:30
39,23,9060,CARD,PAYMENT,7,TXN_000000000003,ORDER_000000000003,PAYMENT_000000000003,SIGNATURE_000000000003,Payment for freeze booking,2026-01-07 02:00:00+05:30
40,24,9400,CARD,PAYMENT,7,TXN_000000000004,ORDER_000000000004,PAYMENT_000000000004,SIGNATURE_000000000004,Payment for freeze booking,2026-01-10 02:00:00+05:30
41,25,10760,CARD,PAYMENT,7,TXN_000000000005,ORDER_000000000005,PAYMENT_000000000005,SIGNATURE_000000000005,Payment for freeze booking,2026-01-13 02:00:00+05:30
42,21,2500,UPI,ADD_PAYMENT,14,TXN_000000000006,ORDER_000000000006,PAYMENT_000000000006,SIGNATURE_000000000006,Settlement Payment,2026-01-02 10:32:00+05:30
43,24,2000,UPI,REJECTION_REFUND,13,TXN_000000000007,ORDER_000000000007,PAYMENT_000000000007,SIGNATURE_000000000007,Admin confirmed refund manually,2026-01-11 12:00:00+05:30
44,23,1400,UPI,REFUND,13,TXN_000000000008,ORDER_000000000008,PAYMENT_000000000008,SIGNATURE_000000000008,Admin confirmed refund manually,2026-01-08 12:00:00+05:30
45,25,5280,UPI,CANCELLATION_REFUND,13,TXN_000000000009,ORDER_000000000009,PAYMENT_000000000009,SIGNATURE_000000000009,Admin confirmed refund manually,2026-01-14 12:00:00+05:30
